자치구명,범죄대분류,범죄중분류,발생건수
강서구,강력범죄,살인미수등,1
강서구,강력범죄,강도,6
강서구,강력범죄,강간,77
강서구,강력범죄,유사강간,12
강서구,강력범죄,강제추행,203
강서구,강력범죄,기타 강간 강제추행등,2
강서구,강력범죄,방화,14
강서구,절도범죄,절도범죄,1790
강서구,폭력범죄,상해,125
강서구,폭력범죄,폭행,1278
강서구,폭력범죄,체포감금,12
강서구,폭력범죄,협박,256
강서구,폭력범죄,약취 유인,4
강서구,폭력범죄,폭력행위등,68
강서구,폭력범죄,공갈,63
강서구,폭력범죄,손괴,372
강서구,지능범죄,직무유기,10
강서구,지능범죄,직권남용,10
강서구,지능범죄,증수뢰,1
강서구,지능범죄,통화,6
강서구,지능범죄,문서 인장,121
강서구,지능범죄,유가증권인지,0
강서구,지능범죄,사기,2886
강서구,지능범죄,횡령,703
강서구,지능범죄,배임,38
강서구,풍속범죄,성풍속범죄,262
강서구,풍속범죄,도박범죄,52
강서구,특별경제범죄,특별경제범죄,491
강서구,마약범죄,마약범죄,135
강서구,보건범죄,보건범죄,113
강서구,환경범죄,환경범죄,6
강서구,교통범죄,교통범죄,1290
강서구,노동범죄,노동범죄,2
강서구,안보범죄,안보범죄,2
강서구,선거범죄,선거범죄,12
강서구,병역범죄,병역범죄,75
강서구,기타범죄,기타범죄,2456
구로구,강력범죄,살인기수,0
구로구,강력범죄,살인미수등,12
구로구,강력범죄,강도,7
구로구,강력범죄,강간,34
구로구,강력범죄,유사강간,7
구로구,강력범죄,강제추행,150
구로구,강력범죄,기타 강간 강제추행등,0
구로구,강력범죄,방화,11
구로구,절도범죄,절도범죄,1627
구로구,폭력범죄,상해,121
구로구,폭력범죄,폭행,1092
구로구,폭력범죄,체포감금,5
구로구,폭력범죄,협박,213
구로구,폭력범죄,약취 유인,4
구로구,폭력범죄,폭력행위등,48
구로구,폭력범죄,공갈,47
구로구,폭력범죄,손괴,373
구로구,지능범죄,직무유기,8
구로구,지능범죄,직권남용,16
구로구,지능범죄,증수뢰,1
구로구,지능범죄,통화,3
구로구,지능범죄,문서 인장,95
구로구,지능범죄,유가증권인지,0
구로구,지능범죄,사기,2087
구로구,지능범죄,횡령,691
구로구,지능범죄,배임,21
구로구,풍속범죄,성풍속범죄,137
구로구,풍속범죄,도박범죄,33
구로구,특별경제범죄,특별경제범죄,565
구로구,마약범죄,마약범죄,155
구로구,보건범죄,보건범죄,63
구로구,환경범죄,환경범죄,0
구로구,교통범죄,교통범죄,1056
구로구,노동범죄,노동범죄,2
구로구,안보범죄,안보범죄,1
구로구,선거범죄,선거범죄,0
구로구,병역범죄,병역범죄,42
구로구,기타범죄,기타범죄,1683
금천구,강력범죄,살인기수,1
금천구,강력범죄,살인미수등,3
금천구,강력범죄,강도,5
금천구,강력범죄,강간,25
금천구,강력범죄,유사강간,5
금천구,강력범죄,강제추행,93
금천구,강력범죄,기타 강간 강제추행등,2
금천구,강력범죄,방화,6
금천구,절도범죄,절도범죄,980
금천구,폭력범죄,상해,80
금천구,폭력범죄,폭행,606
금천구,폭력범죄,체포감금,10
금천구,폭력범죄,협박,155
금천구,폭력범죄,약취 유인,2
금천구,폭력범죄,폭력행위등,32
금천구,폭력범죄,공갈,21
금천구,폭력범죄,손괴,210
금천구,지능범죄,직무유기,14
금천구,지능범죄,직권남용,6
금천구,지능범죄,증수뢰,1
금천구,지능범죄,통화,4
금천구,지능범죄,문서 인장,46
금천구,지능범죄,유가증권인지,0
금천구,지능범죄,사기,1846
금천구,지능범죄,횡령,432
금천구,지능범죄,배임,26
금천구,풍속범죄,성풍속범죄,85
금천구,풍속범죄,도박범죄,18
금천구,특별경제범죄,특별경제범죄,535
금천구,마약범죄,마약범죄,61
금천구,보건범죄,보건범죄,48
금천구,환경범죄,환경범죄,1
금천구,교통범죄,교통범죄,801
금천구,노동범죄,노동범죄,2
금천구,안보범죄,안보범죄,1
금천구,선거범죄,선거범죄,0
금천구,병역범죄,병역범죄,48
금천구,기타범죄,기타범죄,1236
영등포구,강력범죄,살인기수,6
영등포구,강력범죄,살인미수등,6
영등포구,강력범죄,강도,9
영등포구,강력범죄,강간,51
영등포구,강력범죄,유사강간,12
영등포구,강력범죄,강제추행,245
영등포구,강력범죄,기타 강간 강제추행등,0
영등포구,강력범죄,방화,9
영등포구,절도범죄,절도범죄,1856
영등포구,폭력범죄,상해,172
영등포구,폭력범죄,폭행,1247
영등포구,폭력범죄,체포감금,9
영등포구,폭력범죄,협박,218
영등포구,폭력범죄,약취 유인,2
영등포구,폭력범죄,폭력행위등,71
영등포구,폭력범죄,공갈,33
영등포구,폭력범죄,손괴,475
영등포구,지능범죄,직무유기,17
영등포구,지능범죄,직권남용,21
영등포구,지능범죄,증수뢰,3
영등포구,지능범죄,통화,6
영등포구,지능범죄,문서 인장,145
영등포구,지능범죄,유가증권인지,4
영등포구,지능범죄,사기,3021
영등포구,지능범죄,횡령,1039
영등포구,지능범죄,배임,44
영등포구,풍속범죄,성풍속범죄,195
영등포구,풍속범죄,도박범죄,41
영등포구,특별경제범죄,특별경제범죄,655
영등포구,마약범죄,마약범죄,151
영등포구,보건범죄,보건범죄,113
영등포구,환경범죄,환경범죄,4
영등포구,교통범죄,교통범죄,1626
영등포구,노동범죄,노동범죄,2
영등포구,안보범죄,안보범죄,3
영등포구,선거범죄,선거범죄,12
영등포구,병역범죄,병역범죄,67
영등포구,기타범죄,기타범죄,2315
동작구,강력범죄,살인기수,0
동작구,강력범죄,살인미수등,3
동작구,강력범죄,강도,3
동작구,강력범죄,강간,18
동작구,강력범죄,유사강간,2
동작구,강력범죄,강제추행,176
동작구,강력범죄,기타 강간 강제추행등,0
동작구,강력범죄,방화,9
동작구,절도범죄,절도범죄,1191
동작구,폭력범죄,상해,100
동작구,폭력범죄,폭행,683
동작구,폭력범죄,체포감금,8
동작구,폭력범죄,협박,130
동작구,폭력범죄,약취 유인,2
동작구,폭력범죄,폭력행위등,17
동작구,폭력범죄,공갈,55
동작구,폭력범죄,손괴,275
동작구,지능범죄,직무유기,3
동작구,지능범죄,직권남용,11
동작구,지능범죄,증수뢰,1
동작구,지능범죄,통화,3
동작구,지능범죄,문서 인장,66
동작구,지능범죄,유가증권인지,1
동작구,지능범죄,사기,1712
동작구,지능범죄,횡령,581
동작구,지능범죄,배임,20
동작구,풍속범죄,성풍속범죄,159
동작구,풍속범죄,도박범죄,10
동작구,특별경제범죄,특별경제범죄,244
